SOV_A3,LABEL_X,LABEL_Y,gni_pc_m_2021
TZA,34.959183,-6.051866,2924.203173
COD,23.458829,-1.858167,1181.242483
SOM,45.19238,3.568925,1538.409644
KEN,37.907632,0.549043,5320.83892
SDN,29.260657,16.330746,5340.931259
TCD,18.645041,15.142959,1803.560941
ZAF,23.665734,-29.708776,15991.91015
LSO,28.246639,-29.480158,3320.898405
ZWE,29.925444,-18.91164,2150.173744
BWA,24.179216,-22.102634,15039.05934
NAM,17.108166,-20.575298,10436.0696
SEN,-14.778586,15.138125,4652.385117
MLI,-2.038455,18.692713,2709.915287
MRT,-9.740299,19.587062,7534.106573
BEN,2.352018,10.324775,4079.359147
NER,9.504356,17.446195,1566.074807
NGA,7.50322,9.439799,5537.469656
CMR,12.473488,4.585041,4074.325768
TGO,1.058113,8.80722,2591.797085
GHA,-1.036941,7.717639,5857.250373
CIV,-5.568618,7.49139,6391.742751
GIN,-10.016402,10.618516,2914.842069
GNB,-14.52413,12.163712,2252.174555
LBR,-9.460379,6.447177,1461.425598
SLE,-11.763677,8.617449,1874.219847
BFA,-1.36388,12.673048,2652.408029
CAF,20.906897,6.989681,
COG,15.9005,0.142331,3940.184407
GAB,11.835939,-0.437739,13025.0766
GNQ,8.9902,2.333,
ZMB,26.395298,-14.660804,3585.753812
MWI,33.608082,-13.386737,1714.939564
MOZ,37.83789,-13.94323,1366.824757
SWZ,31.467264,-26.533676,9553.621075
AGO,17.984249,-12.182762,6248.437323
BDI,29.917086,-3.332836,794.3112574
MDG,46.704241,-18.628288,1691.866928
GMB,-14.998318,13.641721,2312.415906
TUN,9.007881,33.687263,15260.69746
DZA,2.808241,27.397406,17604.03085
ERI,38.285566,15.787401,
MAR,-7.187296,31.650723,12678.05548
EGY,29.445837,26.186173,19741.2787
LBY,18.011015,26.638944,27897.49813
ETH,39.0886,8.032795,2948.620082
DJI,42.498825,11.976343,7361.834471
UGA,32.948555,1.972589,2920.591566
RWA,30.103894,-1.897196,2789.436395
